iter	Passed	Remaining
0	196	196637
1	371	185485
2	548	182168
3	714	177886
4	879	175074
5	1051	174203
6	1222	173410
7	1392	172683
8	1574	173360
9	1744	172720
10	1913	172029
11	2082	171440
12	2240	170126
13	2407	169548
14	2576	169198
15	2740	168568
16	2912	168431
17	3077	167902
18	3247	167666
19	3424	167810
20	3593	167535
21	3754	166919
22	3917	166414
23	4088	166254
24	4249	165741
25	4416	165442
26	4581	165098
27	4751	164944
28	4919	164721
29	5089	164558
30	5255	164262
31	5421	163987
32	5588	163760
33	5749	163354
34	5914	163063
35	6079	162791
36	6245	162545
37	6407	162200
38	6588	162347
39	6753	162076
40	6921	161892
41	7093	161805
42	7265	161708
43	7431	161467
44	7594	161173
45	7759	160918
46	7927	160744
47	8093	160517
48	8263	160381
49	8426	160096
50	8591	159873
51	8761	159732
52	8933	159630
53	9106	159538
54	9272	159320
55	9440	159145
56	9607	158938
57	9777	158800
58	9953	158749
59	10126	158648
60	10286	158343
61	10468	158379
62	10634	158169
63	10805	158036
64	10972	157828
65	11144	157714
66	11315	157565
67	11485	157412
68	11656	157280
69	11829	157161
70	11995	156956
71	12167	156823
72	12333	156614
73	12501	156441
74	12669	156254
75	12842	156140
76	13015	156016
77	13190	155916
78	13367	155838
79	13542	155742
80	13723	155705
81	13900	155622
82	14076	155521
83	14244	155332
84	14425	155287
85	14614	155317
86	14781	155123
87	14947	154909
88	15119	154763
89	15289	154592
90	15463	154468
91	15642	154382
92	15815	154245
93	15993	154154
94	16065	153042
95	16096	151576
96	16275	151511
97	16448	151392
98	16622	151284
99	16796	151165
100	16966	151018
101	17133	150841
102	17296	150627
103	17463	150454
104	17624	150229
105	17785	149999
106	17955	149848
107	18119	149656
108	18297	149566
109	18464	149392
110	18631	149220
111	18804	149090
112	18971	148918
113	19157	148893
114	19343	148862
115	19520	148759
116	19695	148643
117	19870	148526
118	20037	148347
119	20205	148171
120	20379	148044
121	20555	147934
122	20730	147807
123	20902	147667
124	21072	147508
125	21243	147357
126	21418	147233
127	21590	147085
128	21765	146955
129	21937	146814
130	22120	146739
131	22285	146543
132	22464	146439
133	22639	146312
134	22813	146177
135	22973	145948
136	23133	145721
137	23304	145568
138	23474	145407
139	23639	145216
140	23801	145002
141	23969	144828
142	24133	144633
143	24302	144467
144	24469	144287
145	24634	144095
146	24792	143866
147	24960	143692
148	25126	143508
149	25296	143347
150	25460	143152
151	25625	142963
152	25787	142757
153	25954	142579
154	26121	142403
155	26164	141554
156	26343	141448
157	26515	141303
158	26689	141169
159	26851	140969
160	27014	140778
161	27180	140599
162	27346	140424
163	27516	140266
164	27681	140085
165	27840	139875
166	28008	139705
167	28178	139551
168	28342	139365
169	28508	139187
170	28670	138994
171	28839	138833
172	28998	138622
173	29160	138429
174	29321	138231
175	29489	138064
176	29658	137904
177	29822	137721
178	29989	137549
179	30165	137419
180	30337	137271
181	30512	137139
182	30674	136945
183	30837	136758
184	31002	136578
185	31162	136377
186	31327	136198
187	31499	136050
188	31657	135843
189	31828	135689
190	31995	135521
191	32159	135336
192	32324	135158
193	32486	134970
194	32650	134786
195	32811	134595
196	32980	134433
197	33145	134254
198	33311	134082
199	33494	133978
200	33651	133769
201	33815	133587
202	33983	133423
203	34147	133243
204	34316	133079
205	34485	132920
206	34649	132740
207	34815	132568
208	34981	132393
209	35145	132213
210	35308	132031
211	35472	131850
212	35639	131683
213	35811	131530
214	35987	131395
215	36147	131201
216	36307	131007
217	36477	130849
218	36648	130696
219	36811	130513
220	36973	130327
221	37138	130152
222	37298	129959
223	37466	129793
224	37635	129634
225	37797	129447
226	37963	129275
227	38129	129105
228	38296	128937
229	38460	128757
230	38626	128586
231	38789	128405
232	38953	128227
233	39115	128043
234	39285	127886
235	39456	127731
236	39617	127544
237	39785	127379
238	39954	127219
239	40124	127059
240	40294	126902
241	40454	126714
242	40622	126549
243	40782	126358
244	40949	126192
245	41112	126010
246	41277	125837
247	41444	125670
248	41606	125486
249	41776	125328
250	41942	125158
251	42116	125012
252	42281	124837
253	42439	124645
254	42611	124492
255	42774	124313
256	42946	124160
257	43113	123992
258	43272	123802
259	43432	123616
260	43597	123442
261	43755	123250
262	43920	123077
263	44084	122901
264	44243	122712
265	44403	122526
266	44561	122334
267	44726	122163
268	44888	121982
269	45044	121788
270	45207	121610
271	45364	121417
272	45527	121239
273	45686	121053
274	45851	120881
275	46012	120698
276	46178	120531
277	46350	120377
278	46515	120206
279	46679	120032
280	46850	119878
281	47011	119696
282	47179	119533
283	47353	119384
284	47518	119212
285	47686	119049
286	47848	118870
287	48019	118715
288	48199	118581
289	48359	118396
290	48523	118224
291	48688	118053
292	48867	117915
293	49034	117750
294	49198	117577
295	49359	117396
296	49523	117223
297	49689	117054
298	49854	116883
299	50018	116708
300	50185	116542
301	50349	116371
302	50511	116192
303	50671	116011
304	50832	115831
305	50993	115651
306	51157	115480
307	51324	115314
308	51491	115148
309	51662	114990
310	51825	114816
311	51990	114645
312	52153	114470
313	52318	114300
314	52482	114129
315	52647	113958
316	52809	113781
317	52986	113637
318	53158	113481
319	53322	113309
320	53496	113159
321	53666	113000
322	53827	112821
323	53989	112645
324	54150	112466
325	54318	112302
326	54484	112134
327	54646	111958
328	54806	111779
329	54973	111612
330	55132	111430
331	55294	111254
332	55458	111083
333	55631	110929
334	55810	110788
335	55978	110624
336	56141	110450
337	56310	110289
338	56484	110137
339	56648	109965
340	56814	109796
341	56976	109621
342	57145	109458
343	57304	109279
344	57470	109110
345	57635	108941
346	57809	108789
347	57975	108620
348	58138	108448
349	58304	108279
350	58472	108116
351	58633	107939
352	58798	107769
353	58973	107617
354	59142	107456
355	59307	107286
356	59483	107136
357	59650	106971
358	59819	106808
359	59982	106634
360	60149	106469
361	60317	106306
362	60491	106151
363	60659	105987
364	60831	105830
365	60999	105665
366	61177	105517
367	61345	105353
368	61507	105180
369	61674	105013
370	61844	104851
371	62011	104685
372	62184	104529
373	62345	104354
374	62508	104180
375	62662	103993
376	62818	103808
377	62986	103644
378	63158	103487
379	63331	103330
380	63493	103156
381	63669	103004
382	63845	102852
383	64013	102689
384	64180	102522
385	64353	102365
386	64517	102194
387	64694	102044
388	64856	101870
389	65030	101714
390	65193	101541
391	65358	101372
392	65523	101203
393	65691	101038
394	65853	100863
395	66028	100710
396	66196	100545
397	66355	100366
398	66521	100199
399	66688	100032
400	66861	99874
401	67028	99708
402	67193	99539
403	67355	99365
404	67518	99194
405	67679	99019
406	67844	98849
407	68004	98672
408	68163	98495
409	68326	98323
410	68487	98149
411	68655	97983
412	68817	97811
413	68990	97652
414	69166	97500
415	69329	97328
416	69505	97174
417	69673	97009
418	69846	96851
419	70020	96694
420	70185	96526
421	70361	96371
422	70528	96205
423	70703	96050
424	70872	95885
425	71044	95726
426	71217	95568
427	71378	95393
428	71552	95236
429	71722	95073
430	71897	94918
431	72059	94744
432	72215	94563
433	72374	94387
434	72548	94229
435	72716	94065
436	72877	93890
437	73049	93730
438	73214	93560
439	73379	93392
440	73555	93237
441	73724	93072
442	73899	92916
443	74074	92759
444	74246	92599
445	74425	92448
446	74604	92295
447	74768	92125
448	74924	91945
449	75097	91785
450	75264	91619
451	75435	91457
452	75610	91299
453	75793	91152
454	75963	90988
455	76138	90832
456	76308	90668
457	76484	90511
458	76657	90352
459	76830	90192
460	77020	90051
461	77195	89894
462	77369	89734
463	77540	89572
464	77714	89413
465	77889	89255
466	78056	89087
467	78236	88935
468	78410	88775
469	78572	88603
470	78742	88439
471	78912	88275
472	79079	88107
473	79253	87947
474	79426	87787
475	79598	87625
476	79770	87463
477	79945	87304
478	80117	87142
479	80292	86983
480	80467	86824
481	80633	86655
482	80806	86494
483	80983	86338
484	81153	86173
485	81320	86005
486	81494	85844
487	81662	85678
488	81839	85521
489	82016	85364
490	82195	85209
491	82362	85041
492	82540	84884
493	82713	84722
494	82894	84569
495	83065	84405
496	83238	84242
497	83410	84080
498	83575	83910
499	83741	83741
500	83918	83583
501	84088	83418
502	84259	83254
503	84431	83091
504	84599	82924
505	84766	82756
506	84934	82589
507	85105	82424
508	85281	82265
509	85447	82096
510	85623	81937
511	85794	81772
512	85968	81610
513	86141	81448
514	86313	81285
515	86489	81125
516	86663	80963
517	86832	80797
518	87011	80640
519	87182	80475
520	87355	80313
521	87536	80157
522	87709	79995
523	87881	79831
524	88051	79665
525	88226	79504
526	88391	79334
527	88582	79187
528	88759	79028
529	88931	78864
530	89102	78699
531	89274	78534
532	89447	78371
533	89615	78203
534	89790	78042
535	89966	77881
536	90144	77721
537	90317	77559
538	90488	77393
539	90655	77225
540	90827	77060
541	90997	76894
542	91169	76730
543	91351	76574
544	91526	76412
545	91696	76245
546	91862	76076
547	92033	75910
548	92211	75751
549	92383	75586
550	92550	75417
551	92720	75251
552	92901	75093
553	93068	74925
554	93231	74752
555	93401	74587
556	93572	74421
557	93745	74257
558	93913	74088
559	94081	73921
560	94252	73755
561	94426	73592
562	94597	73426
563	94761	73255
564	94942	73097
565	95115	72932
566	95282	72763
567	95454	72599
568	95639	72444
569	95813	72280
570	95980	72111
571	96145	71940
572	96321	71779
573	96501	71619
574	96674	71455
575	96849	71292
576	97019	71125
577	97193	70961
578	97374	70802
579	97547	70637
580	97716	70470
581	97889	70305
582	98060	70139
583	98227	69970
584	98396	69802
585	98569	69637
586	98738	69470
587	98909	69303
588	99083	69139
589	99254	68973
590	99426	68808
591	99598	68642
592	99767	68474
593	99938	68308
594	100107	68140
595	100278	67973
596	100459	67814
597	100623	67643
598	100792	67475
599	100965	67310
600	101136	67144
601	101307	66977
602	101472	66807
603	101640	66638
604	101812	66472
605	101980	66304
606	102156	66141
607	102320	65970
608	102489	65802
609	102658	65633
610	102840	65474
611	103010	65307
612	103180	65139
613	103352	64973
614	103530	64811
615	103704	64646
616	103878	64482
617	104051	64316
618	104244	64163
619	104420	63999
620	104594	63834
621	104764	63666
622	104933	63498
623	105106	63333
624	105274	63164
625	105445	62997
626	105618	62832
627	105796	62669
628	105973	62505
629	106162	62349
630	106335	62183
631	106509	62018
632	106689	61856
633	106860	61689
634	107042	61528
635	107207	61357
636	107368	61185
637	107536	61016
638	107707	60848
639	107879	60681
640	108044	60511
641	108220	60347
642	108394	60181
643	108566	60014
644	108741	59849
645	108909	59680
646	109081	59514
647	109249	59345
648	109425	59180
649	109597	59013
650	109768	58846
651	109940	58679
652	110117	58515
653	110281	58344
654	110452	58177
655	110618	58007
656	110792	57841
657	110958	57671
658	111127	57503
659	111305	57338
660	111480	57173
661	111649	57005
662	111818	56836
663	111992	56671
664	112171	56507
665	112342	56340
666	112515	56173
667	112689	56007
668	112863	55841
669	113038	55675
670	113216	55511
671	113391	55345
672	113559	55176
673	113725	55006
674	113909	54845
675	114081	54678
676	114260	54514
677	114445	54353
678	114625	54189
679	114801	54024
680	114973	53857
681	115151	53692
682	115329	53527
683	115503	53361
684	115685	53198
685	115851	53028
686	116031	52864
687	116213	52701
688	116397	52539
689	116575	52374
690	116749	52207
691	116924	52041
692	117099	51875
693	117279	51711
694	117459	51546
695	117632	51379
696	117809	51214
697	117983	51047
698	118150	50877
699	118319	50708
700	118493	50541
701	118670	50375
702	118846	50209
703	119025	50044
704	119203	49879
705	119384	49715
706	119557	49547
707	119735	49382
708	119904	49213
709	120070	49043
710	120241	48874
711	120407	48704
712	120571	48532
713	120735	48361
714	120897	48189
715	121062	48019
716	121222	47846
717	121389	47676
718	121552	47505
719	121718	47335
720	121887	47166
721	122051	46994
722	122216	46824
723	122376	46651
724	122540	46480
725	122703	46309
726	122875	46141
727	123040	45971
728	123206	45801
729	123371	45630
730	123527	45456
731	123694	45287
732	123851	45113
733	124007	44940
734	124165	44767
735	124328	44596
736	124489	44424
737	124648	44251
738	124807	44079
739	124966	43907
740	125126	43735
741	125283	43562
742	125447	43391
743	125601	43217
744	125756	43044
745	125921	42874
746	126084	42703
747	126242	42531
748	126407	42360
749	126567	42189
750	126730	42018
751	126889	41846
752	127050	41675
753	127209	41503
754	127368	41331
755	127529	41160
756	127680	40985
757	127841	40814
758	127995	40641
759	128152	40469
760	128314	40298
761	128466	40124
762	128623	39952
763	128785	39781
764	128942	39609
765	129104	39439
766	129270	39269
767	129443	39102
768	129599	38930
769	129754	38757
770	129912	38586
771	130069	38414
772	130227	38242
773	130381	38069
774	130541	37899
775	130696	37726
776	130852	37554
777	131013	37384
778	131177	37214
779	131338	37044
780	131513	36877
781	131670	36706
782	131826	36534
783	131983	36362
784	132139	36191
785	132300	36020
786	132460	35850
787	132626	35681
788	132786	35510
789	132944	35339
790	133106	35169
791	133264	34998
792	133426	34828
793	133582	34657
794	133739	34486
795	133901	34316
796	134055	34144
797	134216	33974
798	134376	33804
799	134532	33633
800	134694	33463
801	134860	33294
802	135012	33122
803	135169	32951
804	135333	32782
805	135492	32612
806	135651	32442
807	135809	32271
808	135968	32101
809	136134	31932
810	136293	31762
811	136445	31590
812	136607	31421
813	136771	31252
814	136923	31080
815	137077	30909
816	137234	30739
817	137392	30568
818	137550	30398
819	137705	30228
820	137858	30056
821	138022	29888
822	138185	29719
823	138339	29548
824	138500	29378
825	138659	29209
826	138818	29039
827	138981	28870
828	139139	28700
829	139301	28531
830	139468	28363
831	139629	28194
832	139788	28024
833	139953	27856
834	140116	27687
835	140278	27518
836	140438	27349
837	140601	27180
838	140764	27012
839	140924	26842
840	141085	26673
841	141248	26504
842	141406	26335
843	141565	26166
844	141728	25997
845	141886	25828
846	142047	25659
847	142214	25491
848	142376	25322
849	142539	25154
850	142709	24986
851	142866	24817
852	143022	24647
853	143186	24479
854	143348	24310
